"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83075099999","2014-01-01T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,0",,,,,"MET045METAR SBGR 010000Z 31003KT CAVOK 25/20 Q1015=",
"83075099999","2014-01-01T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0031,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,0",,,,,"MET045METAR SBGR 010100Z 33006KT CAVOK 25/20 Q1015=",
"83075099999","2014-01-01T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,0",,,,,"MET045METAR SBGR 010200Z 33004KT CAVOK 24/20 Q1015=",
"83075099999","2014-01-01T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","340,1,N,0036,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,0",,,,,"MET045METAR SBGR 010300Z 34007KT CAVOK 25/20 Q1015=",
"83075099999","2014-01-01T04:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","350,1,N,0026,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,0",,,,,"MET045METAR SBGR 010400Z 35005KT CAVOK 25/20 Q1014=",
"83075099999","2014-01-01T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0036,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10130,1,99999,0",,,,,"MET045METAR SBGR 010500Z 32007KT CAVOK 24/20 Q1013=",
"83075099999","2014-01-01T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0041,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10130,1,99999,0",,,,,"MET045METAR SBGR 010600Z 33008KT CAVOK 24/20 Q1013=",
"83075099999","2014-01-01T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0031,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,0",,,,,"MET045METAR SBGR 010700Z 32006KT CAVOK 23/20 Q1014=",
"83075099999","2014-01-01T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","250,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,0",,,,,"MET045METAR SBGR 010800Z 25004KT CAVOK 23/20 Q1014=",
"83075099999","2014-01-01T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0026,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,0",,,,,"MET045METAR SBGR 010900Z 32005KT CAVOK 23/20 Q1014=",
