"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83746099999","2011-01-01T00:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","160,1,N,0036,1","02400,1,9,N","011265,1,N,1","+0230,1","+0190,1","99999,9",,"04,1,+01500,1,99,9","07,1,+02400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10102,1,99999,9",,,,,"MET058METAR SBGL 010000Z 16007KT 9999 SCT050 BKN080 23/19 Q1010;",
"83746099999","2011-01-01T01:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","130,1,N,0026,1","03000,1,9,N","011265,1,N,1","+0230,1","+0190,1","99999,9",,"02,1,+01200,1,99,9","07,1,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10108,1,99999,9",,,,,"MET058METAR SBGL 010100Z 13005KT 9999 FEW040 BKN100 23/19 Q1011;",
"83746099999","2011-01-01T02:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","140,1,N,0010,1","03000,1,9,N","011265,1,N,1","+0220,1","+0200,1","99999,9",,"02,1,+01200,1,99,9","07,1,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10108,1,99999,9",,,,,"MET058METAR SBGL 010200Z 14002KT 9999 FEW040 BKN100 22/20 Q1011;",
"83746099999","2011-01-01T03:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","130,1,N,0015,1","00600,1,9,N","011265,1,N,1","+0220,1","+0200,1","99999,9",,"07,1,+00600,1,99,9","07,1,+02400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10102,1,99999,9","51,1",,,,"MET062METAR SBGL 010300Z 13003KT 9999 -DZ BKN020 BKN080 22/20 Q1010;",
"83746099999","2011-01-01T04:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","999,9,C,0000,1","01500,1,9,N","011265,1,N,1","+0220,1","+0200,1","99999,9",,"02,1,+00600,1,99,9","07,1,+01500,1,99,9","07,1,+02100,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9",,,,,"MET065METAR SBGL 010400Z 00000KT 9999 FEW020 BKN050 BKN070 22/20 Q1009;",
"83746099999","2011-01-01T05:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","150,1,N,0010,1","01500,1,C,N","011265,1,N,1","+0220,1","+0200,1","99999,9",,"02,1,+00600,1,99,9","04,1,+01500,1,99,9","07,1,+02100,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9",,,,,"MET065METAR SBGL 010500Z 15002KT 9999 FEW020 SCT050 BKN070 22/20 Q1009;",
"83746099999","2011-01-01T06:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","150,1,N,0021,1","01500,1,C,N","011265,1,N,1","+0220,1","+0200,1","99999,9",,"02,1,+00600,1,99,9","04,1,+01500,1,99,9","07,1,+02100,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9",,,,,"MET065METAR SBGL 010600Z 15004KT 9999 FEW020 SCT050 BKN070 22/20 Q1009;",
"83746099999","2011-01-01T06:15:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-16","SBGL ","V020","140,1,N,0015,1","00360,1,9,N","006000,1,N,1","+0220,1","+0200,1","99999,9",,"04,1,+00150,1,99,9","07,1,+00360,1,99,9","08,1,+01200,1,99,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9","61,1",,,,"MET069SPECI SBGL 010615Z 14003KT 6000 -RA SCT005 BKN012 OVC040 22/20 Q1009;",
"83746099999","2011-01-01T07:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","170,1,N,0015,1","00360,1,9,N","006000,1,N,1","+0220,1","+0200,1","99999,9",,"04,1,+00210,1,99,9","07,1,+00360,1,99,9","07,1,+01200,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9","10,1","61,1",,,"MET072METAR SBGL 010700Z 17003KT 6000 -RA BR SCT007 BKN012 BKN040 22/20 Q1009;",
"83746099999","2011-01-01T08:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","999,9,C,0000,1","00600,1,9,N","004000,1,N,1","+0220,1","+0210,1","99999,9",,"04,1,+00270,1,99,9","07,1,+00600,1,99,9","07,1,+01200,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10091,1,99999,9","10,1",,,,"MET068METAR SBGL 010800Z 00000KT 4000 BR SCT009 BKN020 BKN040 22/21 Q1009;",
