"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83075099999","2012-01-01T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","120,1,N,0005,1","00270,1,9,N","008000,1,N,1","+0200,1","+0200,1","99999,9",,"07,1,+00270,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10119,1,99999,9","61,1",,,,"MET055METAR SBGR 010000Z 12001KT 8000 -RA BKN009 20/20 Q1012;",
"83075099999","2012-01-01T00:35:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","110,1,N,0015,1","00210,1,9,N","003000,1,N,1","+0200,1","+0200,1","99999,9",,"08,1,+00210,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10119,1,99999,9","10,1","61,1",,,"MET058SPECI SBGR 010035Z 11003KT 3000 -RA BR OVC007 20/20 Q1012;",
"83075099999","2012-01-01T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","160,1,N,0010,1","00210,1,9,N","004000,1,N,1","+0200,1","+0200,1","99999,9",,"07,1,+00210,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10119,1,99999,9","10,1","61,1",,,"MET058METAR SBGR 010100Z 16002KT 4000 -RA BR BKN007 20/20 Q1012;",
"83075099999","2012-01-01T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","110,1,N,0010,1","00180,1,9,N","003500,1,N,1","+0190,1","+0190,1","99999,9",,"07,1,+00180,1,99,9","07,1,+00900,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10119,1,99999,9","10,1","61,1",,,"MET065METAR SBGR 010200Z 11002KT 3500 -RA BR BKN006 BKN030 19/19 Q1012;",
"83075099999","2012-01-01T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","070,1,N,0005,1","00150,1,9,N","000800,1,N,1","+0190,1","+0190,1","99999,9","27,L,1800,9","07,1,+00150,1,99,9","08,1,+00330,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10108,1,99999,9","44,1","61,1",,,"MET109METAR SBGR 010300Z 07001KT 0800 R27L/1800N R27R/1800N R09R/1900N R09L/P2000 -RA FG BKN005 OVC011 19/19 Q1011;",
"83075099999","2012-01-01T04:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","999,9,C,0000,1","00120,1,9,N","003000,1,N,1","+0190,1","+0190,1","99999,9",,"07,1,+00120,1,99,9","07,1,+01350,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9","10,1","61,1",,,"MET065METAR SBGR 010400Z 00000KT 3000 -RA BR BKN004 BKN045 19/19 Q1009;",
"83075099999","2012-01-01T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","999,9,C,0000,1","00450,1,9,N","003000,1,N,1","+0190,1","+0190,1","99999,9",,"04,1,+00150,1,99,9","07,1,+00450,1,99,9","07,1,+02100,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9","10,1","61,1",,,"MET072METAR SBGR 010500Z 00000KT 3000 -RA BR SCT005 BKN015 BKN070 19/19 Q1009;",
"83075099999","2012-01-01T05:30:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","360,1,N,0005,1","00450,1,9,N","002000,1,N,1","+0190,1","+0190,1","99999,9",,"04,1,+00120,1,99,9","07,1,+00450,1,99,9","08,1,+02100,1,99,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9","10,1","63,1",,,"MET071SPECI SBGR 010530Z 36001KT 2000 RA BR SCT004 BKN015 OVC070 19/19 Q1009;",
"83075099999","2012-01-01T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","999,9,C,0000,1","00600,1,9,N","003000,1,N,1","+0190,1","+0190,1","99999,9",,"04,1,+00150,1,99,9","07,1,+00600,1,99,9","08,1,+02400,1,99,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","10,1","63,1",,,"MET071METAR SBGR 010600Z 00000KT 3000 RA BR SCT005 BKN020 OVC080 19/19 Q1008;",
"83075099999","2012-01-01T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","999,9,C,0000,1","00510,1,9,N","004000,1,N,1","+0190,1","+0190,1","99999,9",,"02,1,+00120,1,99,9","07,1,+00510,1,99,9","07,1,+02400,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","10,1","61,1",,,"MET077METAR SBGR 010700Z 00000KT 4000 -RA BR FEW004 BKN017 BKN080 19/19 Q1008 RERA;",
"83075099999","2012-01-01T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","090,1,N,0010,1","00510,1,9,N","006000,1,N,1","+0190,1","+0190,1","99999,9",,"07,1,+00510,1,99,9","07,1,+02400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9",,,,,"MET058METAR SBGR 010800Z 09002KT 6000 BKN017 BKN080 19/19 Q1008;",
"83075099999","2012-01-01T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","999,9,C,0000,1","00450,1,9,N","007000,1,N,1","+0200,1","+0200,1","99999,9",,"02,1,+00270,1,99,9","07,1,+00450,1,99,9","07,1,+02700,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9",,,,,"MET065METAR SBGR 010900Z 00000KT 7000 FEW009 BKN015 BKN090 20/20 Q1008;",
"83075099999","2012-01-01T10:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","310,1,N,0026,1","00510,1,9,N","011265,1,N,1","+0210,1","+0200,1","99999,9",,"07,1,+00510,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9",,,,,"MET051METAR SBGR 011000Z 31005KT 9999 BKN017 21/20 Q1009;",
"83075099999","2012-01-01T11:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","320,1,N,0026,1","03000,1,9,N","009000,1,N,1","+0210,1","+0210,1","99999,9",,"04,1,+00510,1,99,9","08,1,+03000,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9","61,1",,,,"MET066METAR SBGR 011100Z COR 32005KT 9000 -RA SCT017 OVC100 21/21 Q1009;",
"83075099999","2012-01-01T12:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","300,1,N,0041,1","00510,1,9,N","011265,1,N,1","+0220,1","+0200,1","99999,9",,"07,1,+00510,1,99,9","07,1,+02700,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,,,"MET058METAR SBGR 011200Z 30008KT 9999 BKN017 BKN090 22/20 Q1010;",
"83075099999","2012-01-01T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","310,1,N,0036,1","00570,1,9,N","011265,1,N,1","+0230,1","+0190,1","99999,9",,"07,1,+00570,1,99,9","07,1,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9",,,,,"MET058METAR SBGR 011300Z 31007KT 9999 BKN019 BKN100 23/19 Q1009;",
"83075099999","2012-01-01T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","290,1,N,0046,1","00510,1,9,N","004500,1,N,1","+0230,1","+0190,1","99999,9",,"07,1,+00510,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9","61,1",,,,"MET055METAR SBGR 011400Z 29009KT 4500 -RA BKN017 23/19 Q1009;",
"83075099999","2012-01-01T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","999,9,C,0000,1","00450,1,9,N","004000,1,N,1","+0210,1","+0210,1","99999,9",,"04,1,+00330,1,99,9","07,1,+00450,1,99,9","07,1,+02700,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","10,1","63,1",,,"MET071METAR SBGR 011500Z 00000KT 4000 RA BR SCT011 BKN015 BKN090 21/21 Q1008;",
"83075099999","2012-01-01T16:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","340,1,N,0041,1","00390,1,9,N","002500,1,N,1","+0210,1","+0210,1","99999,9",,"07,1,+00390,1,99,9","07,1,+00450,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","10,1","63,1",,,"MET073METAR SBGR 011600Z COR 34008KT 2500 RA BR BKN013 BKN015 21/21 Q1008 RERA;",
"83075099999","2012-01-01T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","140,1,N,0010,1","00390,1,9,N","002500,1,N,1","+0200,1","+0200,1","99999,9",,"07,1,+00390,1,99,9","07,1,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","10,1","63,1",,,"MET064METAR SBGR 011700Z 14002KT 2500 RA BR BKN013 BKN100 20/20 Q1008;",
"83075099999","2012-01-01T17:11:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","999,9,C,0000,1","00300,1,9,N","001000,1,N,1","+0200,1","+0200,1","99999,9","09,R,1500,9","07,1,+00300,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","63,1",,,,"MET099SPECI SBGR 011711Z 00000KT 1000 R09R/1500 R27L/1600 R09L/1700 R27R/1900 RA BKN010 20/20 Q1008 RERA;",
"83075099999","2012-01-01T17:45:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","060,1,N,0015,1","00750,1,9,N","004000,1,N,1","+0200,1","+0200,1","99999,9",,"04,1,+00390,1,99,9","07,1,+00750,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","61,1",,,,"MET067SPECI SBGR 011745Z 06003KT 4000 -RA SCT013 BKN025 20/20 Q1008 RERA;",
"83075099999","2012-01-01T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","350,1,N,0021,1","00750,1,9,N","004000,1,N,1","+0200,1","+0200,1","99999,9",,"04,1,+00390,1,99,9","07,1,+00750,1,99,9","08,1,+03000,1,99,9",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","61,1",,,,"MET078METAR SBGR 011800Z COR 35004KT 4000 -RA SCT013 BKN025 OVC100 20/20 Q1008 RERA;",
"83075099999","2012-01-01T19:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","250,1,N,0021,1","00600,1,9,N","004500,1,N,1","+0200,1","+0200,1","99999,9",,"04,1,+00330,1,99,9","07,1,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","63,1",,,,"MET061METAR SBGR 011900Z 25004KT 4500 RA SCT011 BKN020 20/20 Q1008;",
"83075099999","2012-01-01T19:19:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","210,1,N,0036,1","00390,1,9,N","004500,1,N,1","+0200,1","+0200,1","99999,9",,"07,1,+00390,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","63,1",,,,"MET054SPECI SBGR 011919Z 21007KT 4500 RA BKN013 20/20 Q1008;",
"83075099999","2012-01-01T19:40:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","200,1,N,0041,1","00330,1,9,N","004000,1,N,1","+0190,1","+0190,1","99999,9",,"07,1,+00330,1,99,9","08,1,+00750,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10081,1,99999,9","61,1",,,,"MET062SPECI SBGR 011940Z 20008KT 4000 -RA BKN011 OVC025 19/19 Q1008;",
"83075099999","2012-01-01T20:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","190,1,N,0046,1","00330,1,9,N","005000,1,N,1","+0190,1","+0180,1","99999,9",,"07,1,+00330,1,99,9","08,1,+00750,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9","61,1",,,,"MET062METAR SBGR 012000Z 19009KT 5000 -RA BKN011 OVC025 19/18 Q1009;",
"83075099999","2012-01-01T21:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","190,1,N,0021,1","00390,1,9,N","006000,1,N,1","+0190,1","+0170,1","99999,9",,"08,1,+00390,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9",,,,,"MET051METAR SBGR 012100Z 19004KT 6000 OVC013 19/17 Q1009;",
"83075099999","2012-01-01T22:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","180,1,N,0026,1","00600,1,9,N","011265,1,N,1","+0180,1","+0170,1","99999,9",,"08,1,+00600,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9",,,,,"MET051METAR SBGR 012200Z 18005KT 9999 OVC020 18/17 Q1009;",
"83075099999","2012-01-01T23:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","180,1,N,0015,1","00390,1,9,N","011265,1,N,1","+0180,1","+0180,1","99999,9",,"08,1,+00390,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9","61,1",,,,"MET055METAR SBGR 012300Z 18003KT 9999 -RA OVC013 18/18 Q1010;",
"83075099999","2012-01-02T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","160,1,N,0015,1","00300,1,9,N","011265,1,N,1","+0180,1","+0180,1","99999,9",,"08,1,+00300,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,,,"MET051METAR SBGR 020000Z 16003KT 9999 OVC010 18/18 Q1010;",
"83075099999","2012-01-02T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","190,1,N,0015,1","00300,1,9,N","011265,1,N,1","+0180,1","+0180,1","99999,9",,"08,1,+00300,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,,,"MET051METAR SBGR 020100Z 19003KT 9999 OVC010 18/18 Q1010;",
"83075099999","2012-01-02T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","180,1,N,0015,1","00300,1,9,N","011265,1,N,1","+0180,1","+0180,1","99999,9",,"07,1,+00300,1,99,9","08,1,+00450,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10102,1,99999,9",,,,,"MET058METAR SBGR 020200Z 18003KT 9999 BKN010 OVC015 18/18 Q1010;",
"83075099999","2012-01-02T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","999,9,C,0000,1","00270,1,9,N","011265,1,N,1","+0180,1","+0180,1","99999,9",,"08,1,+00270,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10091,1,99999,9",,,,,"MET051METAR SBGR 020300Z 00000KT 9999 OVC009 18/18 Q1009;",
