CODE,COUNTRY,ICAO,LAT,LON,ELEV(M),BEGIN,END
00701899999,,,+00.000,+000.000,+7018.0,20110309,20130730
00702699999,AF,,+00.000,+000.000,+7026.0,20120713,20170822
00707099999,AF,,+00.000,+000.000,+7070.0,20140923,20150926
00826099999,,,+00.000,+000.000,+0000.0,20050101,20100920
00826899999,AF,,+32.950,+065.567,+1156.7,20100519,20120323
00830799999,AF,,+00.000,+000.000,+8318.0,20100421,20100421
00841199999,,,,,,20160217,20160217
00841499999,,,,,,20160216,20160217
00841599999,,,,,,20160217,20200314
00841899999,,,,,,20160217,20160217
01000099999,NO,ENRS,,,,20010927,20041019
01001099999,NO,ENJA,+70.933,-008.667,+0009.0,19310101,20200808
01001399999,NO,,,,,19861120,19880105
01001499999,NO,ENSO,+59.792,+005.341,+0048.8,19861120,20200807
01001599999,NO,,+61.383,+005.867,+0327.0,19870117,20081231
01001699999,NO,,+64.850,+011.233,+0014.0,19870116,19910806
01001799999,NO,ENFR,+59.980,+002.250,+0048.0,19880320,20050228
01002099999,NO,,+80.050,+016.250,+0008.0,19861109,20200808
01003099999,NO,,+77.000,+015.500,+0012.0,19850601,20200808
01004099999,NO,ENAS,+78.917,+011.933,+0008.0,19730101,20140523
01005099999,SV,,+78.067,+013.633,+0009.0,19310103,20041030
01006099999,NO,,+78.250,+022.817,+0014.0,19730101,20200808
01007099999,SV,,+78.917,+011.933,+0007.7,19730106,20200716
01007199999,SV,,+78.217,+015.583,+0037.0,20050210,20050210
01008099999,SV,ENSB,+78.246,+015.466,+0026.8,19750929,20200808
01009099999,SV,,+80.650,+025.000,+0005.0,19550101,20200808
01010099999,NO,ENAN,+69.293,+016.144,+0013.1,19310103,20200808
01011099999,SV,,+80.067,+031.500,+0010.0,19861118,20200808
01012099999,,,,,,19741130,19751116
01014099999,NO,,+69.233,+017.900,+0009.0,19730101,20140523
01015099999,NO,,+69.600,+017.833,+0014.0,19800314,20200808
01016099999,NO,,+78.933,+028.900,+0020.0,19930501,20200808
01017099999,SV,,+77.683,+014.783,+0006.0,19730101,20200808
01017199999,NO,,+69.350,+018.083,+0012.0,20050216,20070307
01019099999,NO,,+77.517,+020.817,+0020.0,20100825,20140523
01020099999,SV,,+76.483,+016.550,+0010.0,20101008,20200808
01023099999,NO,ENDU,+69.056,+018.540,+0076.8,19400713,20200808
01023199999,NO,ENDR,+64.350,+007.800,+0000.0,20040510,20200108
01024099999,NO,,+78.650,+016.367,+0020.0,19730101,20200808
01025099999,NO,ENTC,+69.683,+018.919,+0009.4,19730101,20200808
01026099999,NO,,+69.650,+018.933,+0114.5,19970201,20200808
01027099999,NO,,+69.650,+018.900,+0020.0,20110928,20200808
01028099999,NO,ENBJ,+74.517,+019.017,+0018.0,19310103,20200808
01030099999,NO,,+69.283,+018.133,+0982.0,19510101,20200808
01030399999,NO,,+69.700,+019.017,+0014.0,20140522,20150108
01032099999,NO,,+69.017,+019.283,+0078.0,19730101,20140523
01033099999,NO,,+70.250,+019.500,+0024.0,19730101,20200808
01034099999,NO,,+70.317,+020.150,+0038.0,19871202,20140523
01035099999,NO,,+69.567,+020.100,+0710.0,19730101,20200808
01036099999,NO,,+69.567,+020.433,+0710.0,20040510,20200808
01036199999,NO,,+69.367,+020.267,+0005.0,20050916,20050922
01037099999,NO,,+69.383,+020.283,+0020.0,19730101,20200711
01040099999,NO,,+70.033,+020.983,+0015.0,19730101,19780927
01041099999,NO,,+69.733,+021.017,+0005.0,19730101,20140523
01042099999,NO,,+70.600,+022.450,+0438.0,20080917,20200808
01043099999,NO,,+70.417,+022.817,+0010.0,19730101,20200808
01043199999,NO,,+70.333,+021.467,+0011.0,20060207,20070307
01043599999,NO,,+70.483,+022.150,+0007.0,19750515,20081230
01044099999,NO,ENHK,+70.487,+022.140,+0006.4,20050102,20200808
01045099999,NO,,+69.833,+021.883,+0006.0,19730101,20200808
01045599999,,,,,,19741117,19750904
01046099999,NO,ENSR,+69.787,+020.959,+0004.9,19750905,20200808
01047099999,NO,ENKA,+69.017,+023.067,+0307.0,19730101,20200808
01049099999,NO,ENAT,+69.976,+023.372,+0002.7,19730101,20200808
01051099999,NO,,+69.583,+023.533,+0374.0,19730102,20140523
01052099999,NO,ENHF,+70.683,+023.683,+0081.0,19401008,20200808
01053099999,NO,,+70.683,+023.683,+0070.0,19730101,19871226
01055099999,NO,,+71.100,+023.983,+0014.2,19310101,20200808
01057099999,NO,,+69.367,+024.433,+0286.0,19730101,20200808
01058099999,NO,,+69.567,+023.533,+0381.0,20050218,20200808
01059099999,NO,ENNA,+70.069,+024.973,+0007.6,19730101,20200808
01061099999,NO,,+70.067,+025.117,+0034.0,19730101,19840707
01061799999,NO,,,,,19890101,19901001
01062099999,NO,ENHO,+76.500,+025.067,+0010.0,19550101,20200808
01063099999,NO,,+70.450,+025.217,+0006.0,19730101,19870715
01065099999,NO,,+69.467,+025.517,+0133.0,19730101,20200808
01066099999,NO,,+71.067,+026.233,+0033.0,19730101,20040619
01067099999,NO,,+69.900,+026.417,+0112.0,19730103,19820924
01067199999,NO,,+69.900,+026.417,+0112.0,20070307,20070307
01068099999,NO,ENHV,+71.017,+025.983,+0014.0,19800604,20200808
01072099999,,,,,,19740227,19740227
01074099999,NO,ENMH,+71.033,+027.833,+0013.0,19750905,20200808
01075099999,NO,,+70.400,+028.200,+0011.2,19730101,20130531
01076099999,NO,,+70.217,+028.167,+0032.0,20121121,20200808
01078099999,NO,,+71.100,+028.233,+0010.0,19730101,20200808
01082099999,NO,,+69.150,+029.250,+0056.0,19730919,20200808
01083099999,NO,ENBV,+70.867,+029.033,+0013.0,19750905,20200808
01084099999,NO,,+69.450,+030.033,+0027.0,19730101,20200808
01085099999,NO,,+69.850,+029.417,+0008.0,19730101,19781008
01086099999,NO,ENBS,+70.600,+029.693,+0149.4,20050101,20200808
01087599999,NO,ENHM,+59.567,+002.217,+0090.0,20110101,20200808
01087699999,NO,ENNE,+66.017,+008.083,+0090.0,20110101,20200808
01087799999,NO,ENQA,+60.633,+003.717,+0090.0,20110101,20200808
01087899999,NO,ENSE,+61.450,+002.133,+0090.0,20110101,20200808
01087999999,NO,ENQR,+61.533,+002.200,+0090.0,20110101,20200808
01088099999,NO,ENVD,+70.067,+029.850,+0039.0,19750905,20200808
01088199999,NO,,+68.467,+017.500,+0023.0,20080101,20081231
01088299999,NO,ENRO,+62.578,+011.342,+0626.1,20050102,20200808
01088399999,NO,,+61.833,+006.117,+0060.0,20080101,20081231
01088499999,NO,ENSN,+59.185,+009.567,+0141.1,20050103,20151109
01088599999,NO,,+70.600,+029.733,+0153.0,19940718,20081231
01088699999,NO,ENSL,+58.367,+001.900,+0030.0,20090201,20200808
01088799999,NO,ENQC,+60.886,+003.610,+0020.0,20110512,20200808
01089099999,NO,ENKR,+69.726,+029.893,+0086.3,19401101,20200808
01092099999,NO,,+70.700,+030.083,+0009.0,19730101,20200402
