"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83075099999","2016-01-01T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0031,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0210,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 010000Z 33006KT CAVOK 24/21 Q1015=",
"83075099999","2016-01-01T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","340,1,N,0031,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0210,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 010100Z 34006KT CAVOK 24/21 Q1016=",
"83075099999","2016-01-01T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0210,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 010200Z 32004KT CAVOK 23/21 Q1015=",
"83075099999","2016-01-01T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0031,1","99999,9,9,N","009999,1,9,9","+0230,1","+0210,1","99999,9",,"02,1,+00579,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00579,1,99,9,99,9","10150,1,99999,9",,,,,"MET051METAR SBGR 010300Z 33006KT 9999 FEW019 23/21 Q1015=",
"83075099999","2016-01-01T04:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0036,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 010400Z 33007KT CAVOK 22/20 Q1014=",
"83075099999","2016-01-01T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0026,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 010500Z 32005KT CAVOK 22/20 Q1014=",
"83075099999","2016-01-01T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0210,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 010600Z 00000KT CAVOK 21/20 Q1014=",
"83075099999","2016-01-01T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0210,1","+0200,1","99999,9",,"02,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9","10130,1,99999,9",,,,,"MET051METAR SBGR 010700Z 30003KT 9999 FEW015 21/20 Q1013=",
"83075099999","2016-01-01T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","180,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0200,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 010800Z 18003KT CAVOK 20/20 Q1014=",
"83075099999","2016-01-01T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0210,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 010900Z 00000KT CAVOK 21/20 Q1014=",
"83075099999","2016-01-01T10:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","270,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0230,1","+0210,1","99999,9",,"02,1,+00457,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00457,1,99,9,99,9","10150,1,99999,9",,,,,"MET051METAR SBGR 011000Z 27004KT 9999 FEW015 23/21 Q1015=",
"83075099999","2016-01-01T11:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0031,1","02134,1,9,N","009999,1,9,9","+0240,1","+0200,1","99999,9",,"02,1,+00518,1,99,9","07,1,+02134,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00518,1,99,9,99,9","10150,1,99999,9",,,,,"MET058METAR SBGR 011100Z 29006KT 9999 FEW017 BKN070 24/20 Q1015=",
"83075099999","2016-01-01T12:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0046,1","99999,9,9,N","009999,1,9,9","+0250,1","+0210,1","99999,9",,"02,1,+00762,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9","10150,1,99999,9",,,,,"MET051METAR SBGR 011200Z 32009KT 9999 FEW025 25/21 Q1015=",
"83075099999","2016-01-01T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0041,1","00792,1,9,N","009999,1,9,9","+0270,1","+0210,1","99999,9",,"07,1,+00792,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00792,1,99,9,99,9","10160,1,99999,9",,,,"0103,1","MET054METAR SBGR 011300Z 30008G20KT 9999 BKN026 27/21 Q1016=",
"83075099999","2016-01-01T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0041,1","00914,1,9,N","009999,1,9,9","+0270,1","+0220,1","99999,9",,"07,1,+00914,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00914,1,99,9,99,9","10160,1,99999,9",,,,,"MET051METAR SBGR 011400Z 30008KT 9999 BKN030 27/22 Q1016=",
"83075099999","2016-01-01T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0026,1","01219,1,9,N","009999,1,9,9","+0290,1","+0230,1","99999,9",,"07,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01219,1,99,9,99,9","10150,1,99999,9",,,,,"MET051METAR SBGR 011500Z 30005KT 9999 BKN040 29/23 Q1015=",
