"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83075099999","2015-01-01T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0190,1","99999,9",,,,,,,,"10170,1,99999,9",,,,,"MET045METAR SBGR 010000Z 31003KT CAVOK 25/19 Q1017=",
"83075099999","2015-01-01T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","020,1,N,0041,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0190,1","99999,9",,,,,,,,"10170,1,99999,9",,,,,"MET045METAR SBGR 010100Z 02008KT CAVOK 25/19 Q1017=",
"83075099999","2015-01-01T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","250,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0190,1","99999,9",,,,,,,,"10170,1,99999,9",,,,,"MET045METAR SBGR 010200Z 25003KT CAVOK 24/19 Q1017=",
"83075099999","2015-01-01T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","080,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 010300Z 08004KT CAVOK 25/20 Q1016=",
"83075099999","2015-01-01T04:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","040,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 010400Z 04003KT CAVOK 25/20 Q1016=",
"83075099999","2015-01-01T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","080,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 010500Z 08003KT CAVOK 23/20 Q1015=",
"83075099999","2015-01-01T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","070,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 010600Z 07004KT CAVOK 22/20 Q1015=",
"83075099999","2015-01-01T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","010,1,N,0036,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0190,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 010700Z 01007KT CAVOK 24/19 Q1015=",
"83075099999","2015-01-01T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 010800Z 00000KT CAVOK 22/20 Q1015=",
"83075099999","2015-01-01T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","070,1,N,0010,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 010900Z 07002KT CAVOK 22/20 Q1015=",
"83075099999","2015-01-01T10:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","090,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 011000Z 09003KT CAVOK 25/20 Q1016=",
"83075099999","2015-01-01T11:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","360,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0270,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 011100Z 36004KT CAVOK 27/20 Q1016=",
"83075099999","2015-01-01T12:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","340,1,N,0036,1","99999,9,9,Y","999999,9,9,9","+0280,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 011200Z 34007KT CAVOK 28/20 Q1016=",
"83075099999","2015-01-01T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0290,1","+0200,1","99999,9",,"04,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01219,1,99,9,99,9","10170,1,99999,9",,,,,"MET051METAR SBGR 011300Z 31012KT 9999 SCT040 29/20 Q1017=",
"83075099999","2015-01-01T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0067,1","99999,9,9,N","009999,1,9,9","+0310,1","+0200,1","99999,9",,"04,1,+01372,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01372,1,99,9,99,9","10160,1,99999,9",,,,"0118,1","MET054METAR SBGR 011400Z 32013G23KT 9999 SCT045 31/20 Q1016=",
"83075099999","2015-01-01T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0062,1","99999,9,9,Y","999999,9,9,9","+0320,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 011500Z 33012KT CAVOK 32/20 Q1016=",
"83075099999","2015-01-01T16:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0057,1","99999,9,9,Y","999999,9,9,9","+0320,1","+0190,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 011600Z 30011KT CAVOK 32/19 Q1015=",
"83075099999","2015-01-01T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0320,1","+0200,1","99999,9",,"04,1,+01372,1,99,9","02,1,+01524,1,08,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01372,1,99,9,99,9","10140,1,99999,9",,,,"0118,1","MET064METAR SBGR 011700Z 31012G23KT 9999 SCT045 FEW050TCU 32/20 Q1014=",
"83075099999","2015-01-01T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0051,1","99999,9,9,N","009999,1,9,9","+0310,1","+0210,1","99999,9",,"04,1,+01372,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01372,1,99,9,99,9","10140,1,99999,9",,,,,"MET051METAR SBGR 011800Z 31010KT 9999 SCT045 31/21 Q1014=",
"83075099999","2015-01-01T19:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0041,1","99999,9,9,N","009999,1,9,9","+0310,1","+0200,1","99999,9",,"04,1,+01372,1,99,9","02,1,+01524,1,08,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01372,1,99,9,99,9","10130,1,99999,9",,,,,"MET061METAR SBGR 011900Z 31008KT 9999 SCT045 FEW050TCU 31/20 Q1013=",
"83075099999","2015-01-01T20:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0051,1","99999,9,9,N","009999,1,9,9","+0310,1","+0200,1","99999,9",,"02,1,+01524,1,08,1","02,1,+01829,1,09,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01524,1,99,9,99,9","10140,1,99999,9","13,1",,,,"MET068METAR SBGR 012000Z 29010KT 9999 VCTS FEW050TCU FEW060CB 31/20 Q1014=",
"83075099999","2015-01-01T21:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0036,1","99999,9,9,N","009999,1,9,9","+0290,1","+0200,1","99999,9",,"02,1,+01524,1,08,1","02,1,+01829,1,09,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01524,1,99,9,99,9","10140,1,99999,9","13,1",,,,"MET068METAR SBGR 012100Z 29007KT 9999 VCTS FEW050TCU FEW060CB 29/20 Q1014=",
"83075099999","2015-01-01T22:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","270,1,N,0036,1","99999,9,9,Y","999999,9,9,9","+0260,1","+0190,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 012200Z 27007KT CAVOK 26/19 Q1015=",
"83075099999","2015-01-01T23:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","190,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0250,1","+0200,1","99999,9",,"02,1,+01829,1,09,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01829,1,99,9,99,9","10160,1,99999,9","13,1",,,,"MET058METAR SBGR 012300Z 19002KT 9999 VCTS FEW060CB 25/20 Q1016=",
"83075099999","2015-01-02T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10170,1,99999,9",,,,,"MET045METAR SBGR 020000Z 30003KT CAVOK 24/20 Q1017=",
"83075099999","2015-01-02T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","050,1,N,0026,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 020100Z 05005KT CAVOK 25/20 Q1016=",
"83075099999","2015-01-02T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0005,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 020200Z 32001KT CAVOK 24/20 Q1016=",
"83075099999","2015-01-02T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","360,1,N,0041,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 020300Z 36008KT CAVOK 25/20 Q1015=",
"83075099999","2015-01-02T04:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","360,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 020400Z 36004KT CAVOK 24/20 Q1014=",
"83075099999","2015-01-02T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","050,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 020500Z 05003KT CAVOK 23/20 Q1014=",
"83075099999","2015-01-02T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","160,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 020600Z 16003KT CAVOK 24/20 Q1014=",
"83075099999","2015-01-02T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 020700Z 00000KT CAVOK 22/20 Q1014=",
"83075099999","2015-01-02T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","090,1,N,0010,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 020800Z 09002KT CAVOK 23/20 Q1015=",
"83075099999","2015-01-02T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","060,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,,"MET045METAR SBGR 020900Z 06003KT CAVOK 24/20 Q1015=",
"83075099999","2015-01-02T10:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","090,1,N,0010,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0210,1","99999,9",,,,,,,,"10160,1,99999,9",,,,,"MET045METAR SBGR 021000Z 09002KT CAVOK 25/21 Q1016=",
"83075099999","2015-01-02T11:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0270,1","+0200,1","99999,9",,,,,,,,"10170,1,99999,9",,,,,"MET045METAR SBGR 021100Z 31003KT CAVOK 27/20 Q1017=",
"83075099999","2015-01-02T12:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0036,1","99999,9,9,Y","999999,9,9,9","+0290,1","+0200,1","99999,9",,,,,,,,"10170,1,99999,9",,,,,"MET045METAR SBGR 021200Z 31007KT CAVOK 29/20 Q1017=",
"83075099999","2015-01-02T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","270,1,N,0057,1","99999,9,9,Y","999999,9,9,9","+0300,1","+0210,1","99999,9",,,,,,,,"10170,1,99999,9",,,,,"MET045METAR SBGR 021300Z 27011KT CAVOK 30/21 Q1017=",
"83075099999","2015-01-02T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0046,1","99999,9,9,N","009999,1,9,9","+0310,1","+0220,1","99999,9",,"02,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10170,1,99999,9",,,,,"MET051METAR SBGR 021400Z 29009KT 9999 FEW040 31/22 Q1017=",
"83075099999","2015-01-02T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0057,1","99999,9,9,N","009999,1,9,9","+0320,1","+0210,1","99999,9",,"02,1,+01372,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01372,1,99,9,99,9","10160,1,99999,9",,,,,"MET051METAR SBGR 021500Z 31011KT 9999 FEW045 32/21 Q1016=",
"83075099999","2015-01-02T16:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0320,1","+0220,1","99999,9",,"04,1,+01372,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01372,1,99,9,99,9","10150,1,99999,9",,,,,"MET051METAR SBGR 021600Z 30012KT 9999 SCT045 32/22 Q1015=",
"83075099999","2015-01-02T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0057,1","01372,1,9,N","009999,1,9,9","+0330,1","+0220,1","99999,9",,"07,1,+01372,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01372,1,99,9,99,9","10150,1,99999,9",,,,,"MET051METAR SBGR 021700Z 30011KT 9999 BKN045 33/22 Q1015=",
"83075099999","2015-01-02T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0051,1","99999,9,9,N","009999,1,9,9","+0330,1","+0210,1","99999,9",,"04,1,+01372,1,99,9","02,1,+01524,1,08,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01372,1,99,9,99,9","10140,1,99999,9",,,,,"MET061METAR SBGR 021800Z 30010KT 9999 SCT045 FEW050TCU 33/21 Q1014=",
